"scientificName","individualCount","country","locality","totalObservation","longitudeDecimal","latitudeDecimal"
"Hyla arborea",10,"Poland","Poland - Białowieża",38,23.85,52.7
"Picoides tridactylus",1,"Poland","Poland - Białowieża",23,23.7469245316,52.7283506315
"Pyrrhula pyrrhula",15,"Poland","Poland - Narwianski NP",49,22.7974963184,53.1048266856
"Sturnus vulgaris",1,"Poland","Poland - Biebrza NP",837,22.5844809748821,53.47962636315
"Passer domesticus",1,"Poland","Poland - Biebrza NP",307,22.5844809748821,53.47962636315
"Cygnus olor",1,"Poland","Poland - Biebrza NP",101,22.5844809748821,53.47962636315
"Capreolus capreolus",1,"Poland","Poland - Podlaskie",185,22.9166686533,53.031454314
"Turdus pilaris",10,"Poland","Poland - Podlaskie",81,22.8993844977,53.0156008167
"Capreolus capreolus",15,"Poland","Poland - Podlaskie",185,22.9168224317,53.0221390999
"Coloeus monedula",1,"Poland","Poland - Małopolskie",30,19.20161065,50.02799313
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Remiz pendulinus",2,"Poland","Poland - Biebrza NP",49,22.6,53.45
"Poecile montanus",1,"Poland","Poland - Biebrza NP - Budy Marsh",18,22.5444321334,53.366737738
"Poecile palustris",1,"Poland","Poland - Białowieża",44,23.8228084892,52.6902614865
"Emberiza citrinella",30,"Poland","Poland - Podlaskie",281,22.5932158157,53.3692282648
"Passer montanus",50,"Poland","Poland - Podlaskie",295,22.5932158157,53.3692282648
"Coccothraustes coccothraustes",1,"Poland","Poland - Białowieża",57,23.5953786224,52.7373438154
"Aegithalos caudatus caudatus",15,"Poland","Poland - Białowieża",41,23.8226227462,52.6900141685
"Sus scrofa",1,"Poland","Poland - Biebrza NP",112,22.5603121519,53.3663268206
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Castor fiber",1,"Poland","Poland - Podlaskie",50,22.35,53.15
"Mustela vison",1,"Poland","Poland - Podlaskie",4,22.4004511535,53.169645998
"Lutra lutra",2,"Poland","Poland - Podlaskie",11,22.4,53.15
"Dryocopus martius",1,"Poland","Poland - Biebrza NP",72,22.5834864378,53.3885482806
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Corvus corax",2,"Poland","Poland - Bialowieski Park Narodowy",62,23.8453745842,52.745430771
"Haliaeetus albicilla",1,"Poland","Poland - Bialowieski Park Narodowy",84,23.8453745842,52.745430771
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
"Alces alces",2,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Buteo lagopus",1,"Poland","Poland - Biebrza NP - Red Marsh",35,22.8602045774,53.5948465113
"Lanius excubitor",1,"Poland","Poland - Biebrza NP - Red Marsh",66,22.8602045774,53.5948465113
"Capreolus capreolus",4,"Poland","Poland - Biebrza NP - Red Marsh",185,22.8602045774,53.5948465113
"Vulpes vulpes",1,"Poland","Poland - Biebrza NP - Red Marsh",34,22.75,53.65
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.774258554,53.6577619534
"Alces alces",1,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7764901519,53.6600507658
"Alces alces",2,"Poland","Poland - Biebrza NP",173,22.6226252317,53.4538142791
"Sus scrofa",1,"Poland","Poland - Biebrza NP",112,22.5603121519,53.3663268206
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Haliaeetus albicilla",1,"Poland","Poland - Biebrza NP",84,22.5728434324,53.3678632393
"Alces alces",2,"Poland","Poland - Podlaskie",173,22.6000249386,53.3333300681
"Capreolus capreolus",5,"Poland","Poland - Podlaskie",185,22.6000249386,53.3333300681
"Castor fiber",2,"Poland","Poland - Biebrza NP",50,22.6,53.3
"Capreolus capreolus",4,"Poland","Poland - Podlaskie",185,22.3984770477,53.170160505
"Castor fiber",1,"Poland","Poland - Podlaskie",50,22.35,53.15
"Perdix perdix",8,"Poland","Poland - Biebrza NP",25,22.4534086883,53.2581788717
"Anser fabalis fabalis",18,"Poland","Poland - Biebrza NP",54,22.4534086883,53.2581788717
"Mustela vison",1,"Poland","Poland - Podlaskie",4,22.4004511535,53.169645998
"Lutra lutra",2,"Poland","Poland - Podlaskie",11,22.4,53.15
"Lutra lutra",1,"Poland","Poland - Podlaskie",11,22.4,53.15
"Dryocopus martius",1,"Poland","Poland - Biebrza NP",72,22.5834864378,53.3885482806
"Capreolus capreolus",12,"Poland","Poland - Biebrza NP",185,22.5834864378,53.3885482806
"Alces alces",12,"Poland","Poland - Biebrza NP",173,22.5834864378,53.3885482806
"Sus scrofa",2,"Poland","Poland - Biebrza NP",112,22.5542744994,53.3926439364
"Alces alces",3,"Poland","Poland - Biebrza NP",173,22.5844869018,53.3779006112
"Capreolus capreolus",15,"Poland","Poland - Biebrza NP",185,22.5844869018,53.3779006112
"Haliaeetus albicilla",1,"Poland","Poland - Podlaskie",84,22.8928792477,53.3458343419
"Coccothraustes coccothraustes",5,"Poland","Poland - Dojlidy Fish Ponds",57,23.2231530547,53.1129863933
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.6002930999,52.8103877457
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.6002930999,52.8103877457
"Dendrocopos major",1,"Poland","Poland - Białowieża",83,23.5919098556,52.7382140659
"Dendrocopos syriacus",1,"Poland","Poland - Białowieża",3,23.5919098556,52.7382140659
"Pyrrhula pyrrhula",4,"Poland","Poland - Białowieża",49,23.5919098556,52.7382140659
"Coloeus monedula monedula",1,"Poland","Poland - Białowieża",4,23.5912232101,52.7379802144
"Dryobates minor",1,"Poland","Poland - Białowieża",18,23.7685212493,52.6999492729
"Picoides tridactylus",3,"Poland","Poland - Białowieża",23,23.7685212493,52.6999492729
"Lepus europaeus",1,"Poland","Poland - Białowieża",10,23.7675623596,52.802527505
"Vulpes vulpes",1,"Poland","Poland - Białowieża",34,23.75,52.8
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Tetrastes bonasia",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Dryocopus martius",5,"Poland","Poland - Bialowieski Park Narodowy",72,23.827572763,52.801878468
"Dendrocopos leucotos",3,"Poland","Poland - Białowieża NP",45,23.8240537047,52.7990243739
"Cervus elaphus",3,"Poland","Poland - Bialowieski Park Narodowy",124,23.8280019164,52.801878468
"Alcedo atthis",1,"Poland","Poland - Białowieża",11,23.8505753875,52.7013535868
"Castor fiber",1,"Poland","Poland - Białowieża",50,23.85,52.7
"Cervus elaphus",3,"Poland","Poland - Białowieża NP",124,23.8221077621,52.798972885
"Sus scrofa",4,"Poland","Poland - Białowieża NP",112,23.8221077621,52.798972885
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Bombycilla garrulus",16,"Poland","Poland - Zbionrnik Siemianowka",318,23.7970022857,52.912576669
"Haliaeetus albicilla",6,"Poland","Poland - Zbionrnik Siemianowka",84,23.8659390807,52.9081247852
"Passer montanus",1,"Poland","Poland - Podlaskie",295,23.7998058647,52.8297355711
"Spinus spinus",1,"Poland","Poland - Podlaskie",10,23.7998058647,52.8297355711
"Picus canus",1,"Poland","Poland - Podlaskie",23,23.75,52.8
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.8210777938,52.8519247821
"Bombycilla garrulus",56,"Poland","Poland - Podlaskie",318,23.8343527168,52.8675363191
"Bombycilla garrulus",33,"Poland","Poland - Podlaskie",318,23.8178517669,52.8803191787
"Vulpes vulpes",2,"Poland","Poland - Białowieża",34,23.85,52.65
"Castor fiber",1,"Poland","Poland - Białowieża",50,23.85,52.65
"Castor fiber",3,"Poland","Poland - Białowieża",50,23.85,52.7
"Alces alces",1,"Poland","Poland - Białowieża - Wysokie Bagno Reserve",173,23.8909868896,52.6885574638
"Dryocopus martius",1,"Poland","Poland - Białowieża - Wysokie Bagno Reserve",72,23.8909868896,52.6885574638
"Glaucidium passerinum",1,"Poland","Poland - Białowieża - Wysokie Bagno Reserve",15,23.85,52.65
"Dryocopus martius",1,"Poland","Poland - Białowieża",72,23.7642149627,52.7029402934
"Buteo buteo",1,"Poland","Poland - Białowieża",22,23.8117799163,52.7070223946
"Periparus ater",1,"Poland","Poland - Białowieża",8,23.8117799163,52.7070223946
"Lophophanes cristatus",1,"Poland","Poland - Białowieża",16,23.8117799163,52.7070223946
"Aegithalos caudatus caudatus",6,"Poland","Poland - Białowieża",41,23.8209061325,52.6897800586
"Emberiza citrinella",1,"Poland","Poland - Białowieża",281,23.8209061325,52.6897800586
"Dendrocopos major",3,"Poland","Poland - Białowieża",83,23.8209061325,52.6897800586
"Dryocopus martius",1,"Poland","Poland - Białowieża",72,23.8209061325,52.6897800586
"Picus canus",2,"Poland","Poland - Białowieża",23,23.8,52.65
"Passer montanus",1,"Poland","Poland - Białowieża",295,23.8486012816,52.6984928997
"Poecile palustris",1,"Poland","Poland - Białowieża",44,23.8486012816,52.6984928997
"Cervus elaphus",4,"Poland","Poland - Białowieża",124,23.7693795562,52.8097132906
"Lepus europaeus",1,"Poland","Poland - Białowieża",10,23.7693795562,52.8097132906
"Sus scrofa",5,"Poland","Poland - Białowieża NP",112,23.8246397674,52.7990766736
"Cervus elaphus",1,"Poland","Poland - Podlaskie",124,23.5995487869,52.8102325084
"Emberiza citrinella",1,"Poland","Poland - Podlaskie",281,23.5958151519,52.8115035731
"Haliaeetus albicilla",1,"Poland","Poland - Bialowieski Park Narodowy",84,23.8366144896,52.7321323019
"Garrulus glandarius",1,"Poland","Poland - Bialowieski Park Narodowy",41,23.8373011351,52.742214112
"Dendrocoptes medius",3,"Poland","Poland - Bialowieski Park Narodowy",62,23.8373011351,52.742214112
"Cervus elaphus",10,"Poland","Poland - Bialowieski Park Narodowy",124,23.8378161192,52.7247513545
"Dendrocopos leucotos",2,"Poland","Poland - Bialowieski Park Narodowy",45,23.842279315,52.718720921
"Dendrocopos major",1,"Poland","Poland - Bialowieski Park Narodowy",83,23.842279315,52.718720921
"Picus viridis",1,"Poland","Poland - Bialowieski Park Narodowy",10,23.8431376219,52.7160173525
"Aegithalos caudatus caudatus",5,"Poland","Poland - Bialowieski Park Narodowy",41,23.8397043943,52.7227759595
"Corvus corax",1,"Poland","Poland - Bialowieski Park Narodowy",62,23.8397043943,52.7227759595
"Spinus spinus",1,"Poland","Poland - Bialowieski Park Narodowy",10,23.8448099792,52.7148747033
"Pyrrhula pyrrhula",1,"Poland","Poland - Białowieża",49,23.8482861221,52.6986233414
"Cervus elaphus",2,"Poland","Poland - Białowieża",124,23.8780412078,52.6880888205
"Castor fiber",2,"Poland","Poland - Białowieża",50,23.85,52.65
"Vulpes vulpes",2,"Poland","Poland - Białowieża",34,23.85,52.65
"Castor fiber",1,"Poland","Poland - Białowieża",50,23.85,52.7
"Alcedo atthis",1,"Poland","Poland - Białowieża - Palace Park",11,23.8501096889,52.7015233326
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
"Alces alces",2,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Buteo lagopus",1,"Poland","Poland - Biebrza NP - Red Marsh",35,22.8602045774,53.5948465113
"Lanius excubitor",1,"Poland","Poland - Biebrza NP - Red Marsh",66,22.8602045774,53.5948465113
"Capreolus capreolus",4,"Poland","Poland - Biebrza NP - Red Marsh",185,22.8602045774,53.5948465113
"Vulpes vulpes",1,"Poland","Poland - Biebrza NP - Red Marsh",34,22.75,53.65
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.774258554,53.6577619534
"Alces alces",1,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7764901519,53.6600507658
"Alces alces",2,"Poland","Poland - Biebrza NP",173,22.6226252317,53.4538142791
"Sus scrofa",1,"Poland","Poland - Biebrza NP",112,22.5603121519,53.3663268206
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Haliaeetus albicilla",1,"Poland","Poland - Biebrza NP",84,22.5728434324,53.3678632393
"Alces alces",2,"Poland","Poland - Podlaskie",173,22.6000249386,53.3333300681
"Capreolus capreolus",5,"Poland","Poland - Podlaskie",185,22.6000249386,53.3333300681
"Castor fiber",2,"Poland","Poland - Biebrza NP",50,22.6,53.3
"Capreolus capreolus",4,"Poland","Poland - Podlaskie",185,22.3984770477,53.170160505
"Castor fiber",1,"Poland","Poland - Podlaskie",50,22.35,53.15
"Perdix perdix",8,"Poland","Poland - Biebrza NP",25,22.4534086883,53.2581788717
"Anser fabalis fabalis",18,"Poland","Poland - Biebrza NP",54,22.4534086883,53.2581788717
"Mustela vison",1,"Poland","Poland - Podlaskie",4,22.4004511535,53.169645998
"Lutra lutra",2,"Poland","Poland - Podlaskie",11,22.4,53.15
"Lutra lutra",1,"Poland","Poland - Podlaskie",11,22.4,53.15
"Dryocopus martius",1,"Poland","Poland - Biebrza NP",72,22.5834864378,53.3885482806
"Capreolus capreolus",12,"Poland","Poland - Biebrza NP",185,22.5834864378,53.3885482806
"Alces alces",12,"Poland","Poland - Biebrza NP",173,22.5834864378,53.3885482806
"Sus scrofa",2,"Poland","Poland - Biebrza NP",112,22.5542744994,53.3926439364
"Alces alces",3,"Poland","Poland - Biebrza NP",173,22.5844869018,53.3779006112
"Capreolus capreolus",15,"Poland","Poland - Biebrza NP",185,22.5844869018,53.3779006112
"Haliaeetus albicilla",1,"Poland","Poland - Podlaskie",84,22.8928792477,53.3458343419
"Coccothraustes coccothraustes",5,"Poland","Poland - Dojlidy Fish Ponds",57,23.2231530547,53.1129863933
"Lanius excubitor",1,"Poland","Poland - Podlaskie",66,23.6002930999,52.8103877457
"Dendrocopos major",1,"Poland","Poland - Białowieża",83,23.5919098556,52.7382140659
"Pyrrhula pyrrhula",4,"Poland","Poland - Białowieża",49,23.5919098556,52.7382140659
"Coloeus monedula monedula",1,"Poland","Poland - Białowieża",4,23.5912232101,52.7379802144
"Dryobates minor",1,"Poland","Poland - Białowieża",18,23.7685212493,52.6999492729
"Picoides tridactylus",3,"Poland","Poland - Białowieża",23,23.7685212493,52.6999492729
"Lepus europaeus",1,"Poland","Poland - Białowieża",10,23.7675623596,52.802527505
"Vulpes vulpes",1,"Poland","Poland - Białowieża",34,23.75,52.8
"Glaucidium passerinum",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Tetrastes bonasia",1,"Poland","Poland - Bialowieski Park Narodowy",15,23.8,52.8
"Dryocopus martius",5,"Poland","Poland - Bialowieski Park Narodowy",72,23.827572763,52.801878468
"Dendrocopos leucotos",3,"Poland","Poland - Białowieża NP",45,23.8240537047,52.7990243739
"Cervus elaphus",3,"Poland","Poland - Bialowieski Park Narodowy",124,23.8280019164,52.801878468
"Alcedo atthis",1,"Poland","Poland - Białowieża",11,23.8505753875,52.7013535868
"Castor fiber",1,"Poland","Poland - Białowieża",50,23.85,52.7
